reference,doi,title,year,type,journal,authors
hal-02484957,10.1007/s10208-021-09545-5,The geometry of off-the-grid compressed sensing,2023,Article,Foundations of Computational Mathematics,Clarice Poon; Nicolas Keriven; Gabriel Peyré
hal-02484970,10.1214/22-ejs1986,Sparse and Smooth: improved guarantees for Spectral Clustering in the Dynamic Stochastic Block Model,2022,Article,Electronic Journal of Statistics,Nicolas Keriven; Samuel Vaiter
hal-02484988,10.1109/tsp.2020.2990597,NEWMA: a new method for scalable model-free online change-point detection,2020,Article,IEEE Transactions on Signal Processing,Nicolas Keriven; Damien Garreau; Iacopo Poli
hal-02485072,10.1051/epjconf/202022800021,The NIKA polarimeter on science targets: Crab nebula observations at 150 GHz and dual-band polarization images of Orion Molecular Cloud OMC-1,2020,Communication,,A. Ritacco; R. Adam; P. Ade; P. André; A. Andrianasolo; H. Aussel et al.
hal-02485224,10.4064/fm168-10-2023,Classification of $2$-component virtual links up to $\Xi$-moves,2023,Article,Fundamenta Mathematicae,Jean-Baptiste Meilhan; Shin Satoh; Kodai Wada
inserm-02485572,10.1038/s41598-020-58377-w,Multi-platform NMR Study of Pluripotent Stem Cells Unveils Complementary Metabolic Signatures towards Differentiation,2020,Article,Scientific Reports,Bénédicte Elena-Herrmann; Emilie Montellier; Anne Fages; Reut Bruck-Haimson; Arieh Moussaieff
hal-02486014,10.1007/s41095-020-0160-1,A Practical Path Guiding Method for Participating Media,2020,Article,Computational Visual Media,Hong Deng; Beibei Wang; Rui Wang; Nicolas Holzschuch
hal-02486039,10.1109/tvcg.2019.2963015,Interactive Simulation of Scattering Effects in Participating Media Using a Neural Network Model,2021,Article,IEEE Transactions on Visualization and Computer Graphics,Liangsheng Ge; Beibei Wang; Lu Wang; Xiangxu Meng; Nicolas Holzschuch
hal-02486132,10.1029/2019jc015284,Influence of Coriolis force upon bottom boundary layers in a large‐scale gravity current experiment: Implications for evolution of sinuous deep‐water channel systems,2020,Article,Journal of Geophysical Research. Oceans,Shahrzad Davarpanah Jazi; Mathew G. Wells; Jeff Peakall; Robert M. Dorrell; Robert E. Thomas; Gareth M. Keevil et al.
hal-02486494,10.3726/b16338,"The Master Plan for the integral rehabilitation of Historic Havana: what consequences for the urban environment, what impacts on the population?",2020,Chapitre d'ouvrage,,Janice : Argaillot
hal-02486515,10.1016/j.ijheatfluidflow.2020.108564,Communication between the buffer layer and the wall in a turbulent channel flow,2020,Article,International Journal of Heat and Fluid Flow,Sedat F. Tardu; Sedat F. Tardu; Olivier Léon Doche
hal-02486600,10.1109/icassp40776.2020.9054031,On Cramér-Rao lower bounds with random equality constraints,2020,Communication,,Clémence Prévost; Eric Chaumette; Konstantin Usevich; David Brie; Pierre Comon
hal-02487562,10.1051/refdp/202064012,Imagerie sismique par corrélation de bruit ambiant : du laboratoire à l’échelle globale,2020,Article,Reflets de la Physique,Pierre Boué; Anne Paul
hal-02487768,10.1016/j.solidstatesciences.2020.106137,"Effect of Ni substitution on the structural, magnetic and magnetocaloric properties of Zn0.5-xNixMg0.5Fe2O4 (x = 0, 0.125 and 0.250) ferrites",2020,Article,Solid State Sciences,N. Fortas; Arwa Belkahla; S. Ouyahia; J. Dhahri; E.K. Hlil; K. Taibi
hal-02488602,10.1007/s41095-020-0167-7,A Detail Preserving Neural Network Model for Monte Carlo Denoising,2020,Article,Computational Visual Media,Weiheng Lin; Beibei Wang; Lu Wang; Nicolas Holzschuch
hal-02489013,10.1038/s41598-020-57862-6,Experimental evidence of long-term oceanic circulation reversals without wind influence in the North Ionian Sea,2020,Article,Scientific Reports,Angelo Rubino; Miroslav Gačić; Manuel Bensi; Vedrana Kovačević; Vlado Malačič; Milena Menna et al.
tel-02459170,10.70675/ec0a1334z0ceez4affzb5f9z1cfcff5ecbba,Computational detection of socioeconomic inequalities,2020,Thèse / HDR,,Jacobo Levy Abitbol
hal-01511960,10.1214/20-ejs1695,Consistency and Asymptotic Normality of Latent Blocks Model Estimators,2020,Article,Electronic Journal of Statistics,Vincent Brault; Christine Keribin; Mahendra Mariadassou
hal-02490602,10.1109/tip.2020.2974062,Spectral Variability Aware Blind Hyperspectral Image Unmixing Based on Convex Geometry,2020,Article,IEEE Transactions on Image Processing,Lucas Drumetz; Jocelyn Chanussot; Christian Jutten; Wing-Kin Ma; Akira Iwasaki
hal-02490607,10.1109/icassp40776.2020.9053787,Learning Endmember Dynamics in Multitemporal Hyperspectral Data Using A State-Space Model Formulation,2020,Communication,,Lucas Drumetz; Mauro Dalla Mura; Guillaume Tochon; Ronan Fablet
hal-02491270,10.1088/1402-4896/ab51ec,Macroscopic and Skyrme–Hartree–Fock test of $E(5)$ symmetry in xenon isotopes,2020,Article,Physica Scripta,M. Abolghasem; B. Cuxac; G. Thiamova; P. Alexa
hal-02491289,10.1016/j.physletb.2020.135426,Test of CP invariance in vector-boson fusion production of the Higgs boson in the H → ττ channel in proton–proton collisions at s=13TeV with the ATLAS detector,2020,Article,Phys.Lett.B,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02491504,10.1063/1.5110656,"Development of a reactor for the in situ monitoring of 2D materials growth on liquid metal catalysts, using synchrotron X-ray scattering, Raman spectroscopy, and optical microscopy",2020,Article,Review of Scientific Instruments,Mehdi Saedi; J M de Voogd; A Sjardin; A Manikas; C Galiotis; M Jankowski et al.
hal-02491521,10.1002/pi.5677,Poly(ethylene oxide)-based block copolymer electrolytes for lithium metal batteries,2019,Article,Polymer international,Trang N. T. Phan; Sebastien Issa; Didier Gigmes
hal-02491773,10.1016/j.actamat.2020.02.023,Metrology of small particles and solute clusters by atom probe tomography,2020,Article,Acta Materialia,Frédéric de Geuser; Baptiste Gault
hal-02492532,10.1109/lgrs.2020.2968137,Reconstruction Error in Nonuniformly Sampled Approximately Sparse Signals,2021,Article,IEEE Geoscience and Remote Sensing Letters,Ljubisa Stankovic; Milos Brajovic; Isidora Stankovic; Cornel Ioana; Milos Dakovic
hal-02492987,10.1021/jacs.9b10700,High efficiency mesoscopic solar cells using CsPbI3 perovskite quantum dots enabled by chemical interface engineering,2020,Article,Journal of the American Chemical Society,Keqiang Chen; Wei Jin; Yupeng Zhang; Tingqiang Yang; Peter Reiss; Qiaohui Zhong et al.
hal-02493487,10.15122/isbn.978-2-406-10053-9.p.0213,La réduction du travail au temps « productif » dans l’aide à domicile,2020,Article,Socio-économie du travail,François-Xavier Devetter; Annie Dussuet; Emmanuelle Puissant
halshs-02493617,10.1007/978-3-030-37610-9_4,The Recall in France: A long standing and unresolved debate,2020,Chapitre d'ouvrage,,Clara Egger; Raul Magni Berton
hal-02493649,10.1016/j.mtla.2020.100807,A simple approach to bulk bioinspired tough ceramics,2020,Article,Materialia,Hassan Saad; Kaoutar Radi; Thierry Douillard; David Jauffres; Christophe L Martin; Sylvain Meille et al.
hal-02493792,10.3390/w12030647,Inverse Estuaries in West Africa: Evidence of the Rainfall Recovery?,2020,Article,Water,Luc Descroix; Yancouba Sané; Mamadou Thior; Sylvie-Paméla Manga; Boubacar Demba Ba; Joseph Mingou et al.
hal-02494021,10.1016/j.jmmm.2020.166684,"Mn doping effects on the structural, magnetic and magnetocaloric properties in Ho2O3 powders",2020,Article,Journal of Magnetism and Magnetic Materials,A. Boutahar; S. Bahhar; H. Lemziouka; R. Moubah; E.K. Hlil; E. Lorenzo et al.
hal-02494446,10.1016/bs.hna.2020.10.001,Optimal transport: discretization and algorithms,2021,Chapitre d'ouvrage,,Quentin Mérigot; Boris Thibert
halshs-02495082,10.3917/scpo.magni.2020.01,Le choix des armes,2020,Ouvrage,,Raul Magni Berton; Sophie Panel
hal-01856212,10.1016/j.jeconom.2020.02.003,"ExpectHill estimation, extreme risk and heavy tails",2021,Article,Journal of Econometrics,Abdelaati Daouia; Stéphane Girard; Gilles Stupfler
halshs-02495634,10.3917/sh.323.0008,Ces valeurs qui inspirent les Français,2020,Article,Sciences humaines,Pierre Bréchon
hal-02491994,10.1021/acsaem.9b02083,Dye-Sensitized Photocathodes: Boosting Photoelectrochemical Performances with Polyoxometalate Electron Transfer Mediators,2020,Article,ACS Applied Energy Materials,Youssef Ben M'Barek; Timothy Rosser; Jérémy Sum; Sébastien Blanchard; Florence Volatron; Guillaume Izzet et al.
hal-02496063,10.1016/bs.hna.2020.10.004,Shape and topology optimization,2021,Chapitre d'ouvrage,,Grégoire Allaire; Charles Dapogny; François Jouve
hal-02494360,10.1177/0539018420908233,Epigenetics as an interdiscipline? Promises and fallacies of a biosocial research agenda,2020,Article,Social Science Information,Michel Dubois; Séverine Louvel; Emmanuelle Rial-Sebbag
hal-02497337,10.1016/j.jvolgeores.2020.106790,Numerical simulations of magmatic enclave deformation,2020,Article,Journal of Volcanology and Geothermal Research,Alain Burgisser; Alexandre Carrara; Catherine Annen
hal-02473667,10.1002/brb3.1495,Early and very early‐onset schizophrenia compared with adult‐onset schizophrenia: French FACE‐SZ database,2020,Article,Brain and Behavior,Nathalie . Coulon; Ophelia Godin; Ewa Bulzacka; Caroline Dubertret; Jasmina Mallet; Guillaume Fond et al.
hal-02497367,10.1016/j.jvolgeores.2019.106762,"Triggering of the powerful 14 July 2013 Vulcanian explosion at Tungurahua Volcano, Ecuador",2020,Article,Journal of Volcanology and Geothermal Research,H. Elizabeth H: Gaunt; Alain Burgisser; Patricia Mothes; John Browning; Philip Meredith; Evelyn Criollo et al.
hal-02497805,10.1103/physrevd.102.015023,Quark Flavor Phenomenology of the QCD Axion,2020,Article,Phys.Rev.D,Jorge Martin Camalich; Maxim Pospelov; Pham Ngoc Hoa Vuong; Robert Ziegler; Jure Zupan
hal-02497860,10.3847/1538-4357/ab7236,Cosmic-ray anisotropies in right ascension measured by the Pierre Auger Observatory,2020,Article,Astrophys.J.,Alexander Aab; Pedro Abreu; Marco Aglietta; Ivone Albuquerque; Justin M Albury; Ingomar Allekotte et al.
hal-02497875,10.1007/jhep07(2020)124,Observation of the associated production of a top quark and a $Z$ boson in $pp$ collisions at $\sqrt{s} = 13$ TeV with the ATLAS detector,2020,Article,JHEP,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02498038,10.1016/j.ifacol.2020.12.1219,Optimal driving strategies for traffic control with autonomous vehicles,2020,Communication,,Thibault Liard; Raphael Stern; Maria Laura Delle Monache
insu-02498157,10.1029/2019gc008495,Carbonated Inheritance in the Eastern Tibetan Lithospheric Mantle: Petrological Evidences and Geodynamic Implications,2020,Article,"Geochemistry, Geophysics, Geosystems",Fanny Goussin; Nicolas Riel; Carole Cordier; Stephane Guillot; Philippe Boulvais; Pierrick Roperch et al.
hal-02498231,10.1117/12.2548321,Efficient target tracking for 3D ultrasound-guided needle steering,2020,Communication,,Guillaume Lapouge; Gaelle Fiard; Philippe Poignet; Jocelyne Troccaz
hal-02498393,10.1140/epjc/s10052-020-7687-2,Measurement of $\Lambda$(1520) production in pp collisions at $\sqrt{s}$ = 7 TeV and p-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,2020,Article,Eur.Phys.J.C,S. Acharya; D. Adamová; S.P. Adhya; A. Adler; J. Adolfsson; M.M. Aggarwal et al.
hal-02498409,10.1149/1945-7111/ab787a,Towards Efficient Energy Storage Materials: Lithium Intercalation/Organic Electrodes to Polymer Electrolytes—A Road Map,2020,Article,Journal of The Electrochemical Society,Devaraj Shanmukaraj; Pierre Ranque; Hicham Ben Youcef; Teófilo Rojo; Philippe Poizot; Sylvie Grugeon et al.
hal-02498437,10.1016/j.jnt.2020.10.019,Diagonal convergence of the Remainder Pad\'e approximants for the Hurwitz zeta function,2021,Article,Journal of Number Theory,Marc Prévost; Tanguy Rivoal
hal-02498675,10.1002/aenm.201903136,Facile and Scalable Preparation of Ruthenium Oxide‐Based Flexible Micro‐Supercapacitors,2019,Article,Advanced Energy Materials,Kevin Brousse; Sébastien Pinaud; Son Nguyen; Pier-Francesco Fazzini; Raghda Makarem; Claudie Josse et al.
hal-02499126,10.3390/atmos11020172,Characterization of Aerosol Physical and Optical Properties at the Observatoire Pérenne de l'Environnement (OPE) Site,2020,Article,Atmosphere,Antoine Farah; Paolo Villani; Clémence Rose; Sébastien Conil; Laurent Langrene; Paolo Laj et al.
hal-02499526,10.26420/austinanthropol.2020.1012,"Organic food “yes”, organic food “no”: a discussion between specialists with the Italian Parliament in the fray",2020,Article,Austin Anthropology,Michael Aubert; Damien Banas; Manuel Blouin; Cristian Bolzonella; Karine Bonneval; Jean-Jacques Brun et al.
hal-02500401,10.15454/7wxe-yv47,Alternatives au glyphosate en grandes cultures. Evaluation économique. Résumé exécutif,2020,Rapport / Mémoire,,Alain Carpentier; Adelaide Fadhuile; Mathilde Roignant; Maud Blanck; Xavier Reboud; Florence Jacquet et al.
hal-02500524,10.1016/j.advwatres.2020.103544,Three-dimensional scour simulations with a two-phase flow model,2020,Article,Advances in Water Resources,Tim Nagel; Julien Chauchat; Cyrille Bonamy; Xiaofeng Liu; Zhen Cheng; Tian-Jian Hsu
halshs-02500552,10.1111/1475-6765.12387,Is the EU held accountable for economic performances? Assessing vote and popularity functions before and after membership,2020,Article,European Journal of Political Research,Raul Magni Berton; Abel François; Cal Le Gall
hal-02500791,10.4236/ce.2011.23041,Philosophème,2020,Communication,,Emmanuèle Auriac-Slusarczyk; Lidia Lebas-Fraczak; Mylène Blasco; Marie-France Daniel; Jean-Marc Colletta; Jean-Pascal Simon et al.
hal-02501574,10.4000/tem.6071,Explorer les paysages alimentaires pour régénérer la fabrique agriurbaine,2020,Article,Territoire en mouvement. Revue de Géographie et d'Aménagement,Jennifer Buyck; Aurore Meyfroidt
hal-02501722,10.1177/1359183519895048,A mundane infrastructure of energy poverty: The informal trading of second-hand car batteries in Madagascar,2020,Article,Journal of Material Culture,Céline Cholez; Pascale Trompette
hal-02501991,10.1063/1.5128635,Magnetic reversal in rare-earth free Mn 4 − x Ni x N epitaxial films below and above Ni composition needed for magnetic compensation around room temperature,2020,Article,Journal of Applied Physics,Taro Komori; Taku Hirose; Toshiki Gushi; Kaoru Toko; Τakayasu Hanashima; Laurent Vila et al.
hal-02501993,10.1063/1.5131689,Sub-micrometer near-field focusing of spin waves in ultrathin YIG films,2020,Article,Applied Physics Letters,B. Divinskiy; N. Thiéry; Laurent Vila; O. Klein; N. Beaulieu; J. Ben Youssef et al.
hal-02502263,10.1063/1.5141943,Sediment erosion in zero-mean-shear turbulence,2020,Article,Physics of Fluids,Marie Rastello; Hervé Michallet; Jean-Louis Marié
hal-02502397,10.1080/16258312.2020.1718546,Consumer integration in supply chain management: a taxonomy,2020,Article,Supply Chain Forum: An International Journal,Paul Reaidy; Olivier Lavastre; Blandine Ageron; Ludivine Chaze-Magnan
hal-02502623,10.3390/molecules25030764,Synthesis and Anticancer Cytotoxicity of Azaaurones Overcoming Multidrug Resistance,2020,Article,Molecules,Szilárd Tóth; Áron Szepesi; Viet-Khoa Tran-Nguyen; Balazs Sarkadi; Katalin Német; Pierre Falson et al.
halshs-02502763,10.4000/books.pur.146030,"La gastronomie, un nouvel objet de politiques publiques ?",2020,Chapitre d'ouvrage,,Sidonie Naulin
hal-02502923,10.1007/s10151-020-02174-0,Rheology of human faeces and pathophysiology of defaecation,2020,Article,Techniques in Coloproctology,Clément de Loubens; Alain Dubreuil; Roger G Lentle; Albert Magnin; Nadia El Kissi; Jean-Luc Faucheron
hal-02503606,10.1109/focs46700.2020.00060,Adjacency Labelling for Planar Graphs (and Beyond),2020,Communication,,Vida Dujmović; Louis Esperet; Cyril Gavoille; Gwenaël Joret; Piotr Micek; Pat Morin
hal-02504629,10.1051/epjconf/202022505003,The use of self-induced X-ray fluorescence in gamma-ray spectroscopy of uranium ore samples,2020,Communication,,T. Marchais; B. Pérot; C. Carasco; J-L. Ma; P-G. Allinei; H. Toubon et al.
hal-02504638,10.1051/epjconf/202022800002,Preliminary results on the instrumental polarization of NIKA2-Pol at the IRAM 30m telescope,2020,Communication,,H. Ajeddig; R. Adam; P. Ade; Ph. André; A. Andrianasolo; H. Aussel et al.
hal-02504640,10.1051/epjconf/202022800022,Observing with NIKA2Pol from the IRAM 30m telescope: Early results on the commissioning phase,2020,Communication,,A. Ritacco; R. Adam; P. Ade; H. Ajeddig; P. André; A. Andrianasolo et al.
hal-02504677,10.1063/1.5128546,Estimating ion confinement times from beam current transients in conventional and charge breeder ECRIS,2020,Communication,,M. Marttinen; J. Angot; A. Annaluru; P. Jardin; T. Kalvas; H. Koivisto et al.
hal-02504683,10.1051/0004-6361/201937397,The wind-driven halo in high-contrast images I: analysis from the focal plane images of SPHERE,2020,Article,Astronomy & Astrophysics - A&A,Faustine Cantalloube; Ollie J. D. Farley; Julien Milli; Nazim Ali Bharmal; Wolfgang Brandner; Carlos Correia et al.
hal-02421699,10.3390/s20051460,Multiscale Representation of Observation Error Statistics in Data Assimilation,2020,Article,Sensors,Vincent Chabot; Maëlle Nodet; Arthur Vidard
insu-02499656,10.1016/j.pss.2020.104896,"Linking studies of tiny meteoroids, zodiacal dust, cometary dust and circumstellar disks",2020,Article,Planetary and Space Science,Anny Chantal Levasseur-Regourd; C. Baruteau; Jérémie Lasue; J. Milli; Jean-Baptiste Renard
hal-02505064,10.1051/0004-6361/201936950,ALMA reveals a large structured disk and nested rotating outflows in DG Tauri B,2020,Article,Astronomy & Astrophysics - A&A,A. de Valon; C. Dougados; S. Cabrit; F. Louvet; L. A Zapata; D. Mardones
halshs-02505163,10.4000/books.enseditions.15407,La marchandisation de loisirs féminisés : une forme de revalorisation ?,2020,Chapitre d'ouvrage,,Anne Jourdain; Sidonie Naulin
hal-02505248,10.1021/jacs.9b13289,Controllable Display of Sequential Enzymes on Yeast Surface with Enhanced Biocatalytic Activity toward Efficient Enzymatic Biofuel Cells,2020,Article,Journal of the American Chemical Society,Shuqin Fan; Bo Liang; Xinxin Xiao; Lu Bai; Xiangjiang Tang; Elisabeth Lojou et al.
hal-02505265,10.3917/reco.712.0283,Case-Based Decision Theory. From the choice of actions to reasoning about theories,2020,Article,Revue Economique,Jürgen Eichberger; Ani Guerdjikova
hal-02505846,10.1016/j.icarus.2020.113706,Toward the geological significance of hydrated silica detected by near infrared spectroscopy on Mars based on terrestrial reference samples,2020,Article,Icarus,M. Pineau; L. Le Deit; B. Chauviré; J. Carter; B. Rondeau; Nicolas Mangold
hal-02176094,10.1007/s11854-021-0189-9,Non-boundedness of the number of super level domains of eigenfunctions,2021,Article,Journal d'analyse mathématique,Pierre Bérard; Philippe Charron; Bernard Helffer
hal-02506026,10.3389/feart.2020.00006,Dynamics of Water Absorption in Callovo-Oxfordian Claystone Revealed With Multimodal X-Ray and Neutron Tomography,2020,Article,Frontiers in Earth Science,Eleni Stavropoulou; Edward Andò; Emmanuel Roubin; Nicolas Lenoir; Alessandro Tengattini; Matthieu Briffaut et al.
hal-02506037,10.1016/j.jrmge.2019.09.001,Time-dependent behaviour of the Callovo-Oxfordian claystone-concrete interface,2020,Article,Journal of Rock Mechanics and Geotechnical Engineering,Eleni Stavropoulou; Matthieu Briffaut; Frédéric Dufour; Guillaume Camps
hal-02144563,10.1088/2053-1583/ab1e0a,Production and processing of graphene and related materials,2020,Article,2D Materials,Claudia Backes; Amr M. Abdelkader; Concepción Alonso; Amandine Andrieux; Raul Arenal; Jon Azpeitia et al.
hal-02507468,10.1103/physrevlett.124.106102,Interplay of Chemistry and Faceting at Grain Boundaries in a Model Al Alloy,2020,Article,Physical Review Letters,Huan Zhao; Liam Huber; Wenjun Lu; Nicolas J Peter; Dayong An; Frédéric de Geuser et al.
hal-02507477,10.1016/j.mtla.2020.100634,Microstructural evolution during long time aging of 15–5PH stainless steel,2020,Article,Materialia,Laurent Couturier; Frédéric de Geuser; Alexis Deschamps
hal-02507533,10.4000/interventionseconomiques.7132,Les scènes du cinéma indépendant dans le Nord-Est parisien,2020,Article,Interventions Economiques : Papers in Political Economy,Hélène Morteau; Elsa Vivant
hal-02507716,10.1007/jhep06(2020)151,Search for dijet resonances in events with an isolated charged lepton using $\sqrt{s} = 13$ TeV proton-proton collision data collected by the ATLAS detector,2020,Article,JHEP,Georges Aad; Brad Abbott; Dale Charles Abbott; Adam Abed Abud; Kira Abeling; Deshan Kavishka Abhayasinghe et al.
hal-02507730,10.1051/0004-6361/202037875,"Combined analysis of AMS-02 (Li,Be,B)/C, N/O, 3He, and 4He data",2020,Article,Astronomy & Astrophysics - A&A,Nathanael Weinrich; Yoann Génolini; Mathieu Boudaud; Laurent Derome; David Maurin
hal-02508132,10.4064/sm200313-16-9,Solvability in weighted Lebesgue spaces of the divergence equation with measure data,2021,Article,Studia Mathematica,Laurent Moonens; Emmanuel Russ
hal-02508401,10.1214/21-ejs1929,"Monte Carlo integration of non-differentiable functions on $[0,1]^\iota$, $\iota=1,\dots,d$ , using a single determinantal point pattern defined on $[0,1]^d$",2021,Article,Electronic Journal of Statistics,Jean-François Coeurjolly; Adrien Mazoyer; Pierre-Olivier Amblard
hal-02089332,10.1109/tcad.2019.2907923,Estimation of Analog/RF Parametric Test Metrics Based on a Multivariate Extreme Value Model,2020,Article,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,Ahcène Bounceur; Salvador Mir; R. Euler; K. Beznia
hal-02415320,10.1103/physrevfluids.5.043602,Shape transition and hydrodynamics of vesicles in tube flow,2020,Article,Physical Review Fluids,Paul G. Chen; J M Lyu; Marc Jaeger; M. Leonetti
hal-02509412,10.1016/j.ifacol.2020.12.1876,Boundary stabilization of systems of high order PDEs arising from flexible robotics,2020,Communication,,Andrea Cristofaro; Francesco Ferrante
hal-02509432,10.1111/plb.13081,Water‐soluble carbohydrates in Patzkea paniculata (L.): a plant strategy to tolerate snowpack reduction and spring drought in subalpine grasslands,2020,Article,Plant Biology,Lionel Bernard; Marie-Laure Decau; Annette Morvan‐bertrand; Sandra Lavorel; Jean-Christophe Clement
hal-02510490,10.1484/j.rea.5.122731,"La strophe énigmatique de Prudence sur saint Cassien de Tanger (Pe. IV,, 45-48)",2020,Article,Revue d'études augustiniennes et patristiques,Laurence Gosserez
hal-02510538,10.1016/j.anucene.2020.107428,Results from a multi-physics numerical benchmark for codes dedicated to molten salt fast reactors,2020,Article,Annals of Nuclear Energy,Marco Tiberga; Rodrigo Gonzalez Gonzaga de Oliveira; Eric Cervi; Juan Antonio Blanco; Stefano Lorenzi; Manuele Aufiero et al.
hal-02510575,10.22323/1.354.0012,Present Status Of Particle Acceleration In Relativistic Outflows,2020,Communication,,Benoît Cerutti
hal-02510643,10.1007/s10876-020-01774-y,Magnetic Properties of Mn3ZnN Anti-perovskite Nanoparticles: A Monte Carlo Simulations,2021,Article,Journal of Cluster Science,R. Masrour; A. Jabar; L. Bahmad; E. K. Hlil; M. Hamedoun; A. Benyoussef et al.
hal-02510803,10.1016/j.artmed.2020.101837,Offline identification of surgical deviations in laparoscopic rectopexy,2020,Article,Artificial Intelligence in Medicine,Arnaud Huaulmé; Pierre Jannin; Fabian Reche; Jean-Luc Faucheron; Alexandre Moreau-Gaudry; Sandrine Voros
hal-02511204,10.1021/acsaem.9b02281,Effect of the hole transporting / active layer interface on the perovskite solar cell stability,2020,Article,ACS Applied Energy Materials,Manon Spalla; Lara Perrin; Emilie Planes; Muriel Matheron; Solenn Berson; Lionel Flandin
hal-02511587,10.1063/1.5145188,XANES/EXAFS study of the Lu and Y incorporation in the single crystal Tb 3 Sc 2 Al 3 O 12 Faraday rotator,2020,Article,Journal of Applied Physics,Xavier Biquard; E. Víllora; K. Shimamura; K. Lorenz
hal-02511893,10.23919/acc45564.2020.9147617,Variable speed limits control in an urban road network to reduce environmental impact of traffic,2020,Communication,,Bassel Othman; Giovanni de Nunzio; Domenico Di Domenico; Carlos Canudas de Wit
hal-02512006,10.1209/0295-5075/129/47001,Multiple perfectly transmitting states of a single level at strong coupling,2020,Article,EPL - Europhysics Letters,Etienne Jussiau; Robert S Whitney
hal-02500531,10.1016/j.diamond.2020.107768,Epitaxial diamond on Ir/ SrTiO3/Si (001): From sequential material characterizations to fabrication of lateral Schottky diodes,2020,Article,Diamond and Related Materials,Jean-Charles Arnault; K.H. Lee; Julien Delchevalrie; J. Penuelas; L. Mehmel; O. Brinza et al.
hal-02512645,10.1016/j.neuroimage.2020.116736,Real-world expectations and their affective value modulate object processing,2020,Article,NeuroImage,Laurent Caplette; Frédéric Gosselin; Martial Mermillod; Bruno Wicker
hal-02512847,10.23919/acc45564.2020.9147240,Observer Design for Systems of Conservation Laws with Lipschitz Nonlinear Boundary Dynamics,2020,Communication,,Francesco Ferrante; Andrea Cristofaro
hal-02512881,10.3917/pld.124.0053,La protection fonctionnelle au service des tarjuman,2020,Article,Plein Droit,Serge Slama
hal-02512906,10.1021/jacs.9b12250,Electron and Proton Transfers Modulate DNA Binding by the Transcription Regulator RsrR,2020,Article,Journal of the American Chemical Society,Jason C. Crack; Patricia Amara; Anne Volbeda; Jean-Marie Mouesca; Roman Rohac; Ma Teresa Pellicer Martinez et al.
hal-02512964,10.1007/s13235-020-00350-3,A Differential Game Model of Opinion Dynamics: Accord and Discord as Nash Equilibria,2021,Article,Dynamic Games and Applications,Muhammad Umar B. Niazi; Arif Bülent Özgüler
hal-02512987,10.1111/ecog.04870,Extinction–immigration dynamics lag behind environmental filtering in shaping the composition of tropical dry forests within a changing landscape,2020,Article,Ecography,Grégoire Blanchard; Philippe Birnbaum; François Munoz
hal-02128369,10.1038/s41563-019-0318-3,Unified picture of anionic redox in Li/Na-ion batteries,2019,Article,Nature Materials,Mouna Ben Yahia; Jean Vergnet; Matthieu Saubanère; Marie-Liesse Doublet
hal-02152062,10.1002/cssc.201900781,Dehydration of Alginic Acid Cryogel by TiCl 4 vapor: Direct Access to Mesoporous TiO 2 @C Nanocomposites and Their Performance in Lithium‐Ion Batteries,2019,Article,ChemSusChem,Sanghoon Kim; Mario De bruyn; Johan Alauzun; Nicolas Louvain; Nicolas Brun; Duncan Macquarrie et al.
hal-02309672,10.1109/nss/mic42101.2019.9059941,A μTCA back-end firmware for data acquisition and slow control of the CLaRyS Compton camera,2020,Communication,,C. Caplan; O. Allegrini; J. P. Cachemiche; B. Carlus; X. Chen; D. Dauvergne et al.
hal-02513937,10.1111/epi.16410,Epileptogenicity in tuberous sclerosis complex: A stereoelectroencephalographic study,2020,Article,Epilepsia,Andrew Neal; Karine Ostrowsky‐coste; Julien Jung; Stanislas Lagarde; Louis Maillard; Philippe Kahane et al.
hal-02514057,10.15122/isbn.978-2-406-09779-2.p.0015,Avant-propos,2020,Article,Des mots aux actes,Lavault-Olléon Elisabeth; Maria Zimina
hal-02514065,10.15122/isbn.978-2-406-09779-2,"Traduction et technologie, regards croisés sur de nouvelles pratiques",2020,Autre,Des mots aux actes,Lavault-Olléon Elisabeth; Maria Zimina
hal-02514522,10.1002/ente.201901260,Reversible High Capacity and Reaction Mechanism of Cr 2 (NCN) 3 Negative Electrodes for Li‐Ion Batteries,2020,Article,Energy Technology,Jeethu Jiju Arayamparambil; Moulay Tahar Sougrati; Jeethu Arayamparambil; Kaixuan Chen; Antonella Iadecola; Markus Mann et al.
hal-02514960,10.1103/physrevfluids.5.024303,Study on preferential concentration of inertial particles in homogeneous isotropic turbulence via big-data techniques,2020,Article,Physical Review Fluids,Martin Obligado; Alain H. Cartellier; Alberto Aliseda; Thomas Calmant; Noël de Palma
hal-02515932,10.1016/j.earscirev.2020.103170,Widening of the Andes: an interplay between subduction dynamics and crustal wedge tectonics,2020,Article,Earth-Science Reviews,Joseph Martinod; Mélanie Gérault; Laurent Husson; Vincent Regard
halshs-02516734,10.3917/deba.209.0004,Crise des retraites : un contre-modèle social,2020,Article,Le Debat,Dominique Andolfatto; Dominique Labbé
